Continente,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,year
Oceania,17428,959,2171,1315,1425,1491,1238,1390,1168,1113,1697,1581,1880,2015
África,16692,1886,1432,1217,867,1030,677,2128,2720,1609,1053,980,1093,2016
América Central e Caribe,13798,887,771,1130,1023,1252,864,1323,2464,925,1015,1099,1045,2016
América do Norte,255046,17691,24008,22812,15917,16164,23663,27269,53404,16864,11168,10317,15769,2016
América do Sul,588545,63259,59502,52780,37197,37430,37112,51782,39963,46968,52996,51603,57953,2016
Ásia,69666,3335,6428,3929,3463,3278,3107,10174,18958,7689,3643,2760,2902,2016
Europa,496504,44674,51779,47269,36406,27101,25217,48727,67585,38229,35868,33128,40521,2016
Oceania,24639,1405,1932,1139,1310,1150,1245,3073,7141,2996,1158,929,1161,2016
África,17557,1844,1890,1599,1432,1095,904,1335,1220,1262,1434,1593,1949,2017
América Central e Caribe,11904,1247,1279,1082,970,748,613,906,835,855,972,1077,1320,2017
América do Norte,154249,16174,16581,14025,12548,9699,7939,11715,10823,11083,12588,13966,17108,2017
América do Sul,667204,69962,71719,60660,54277,41953,34343,50676,46811,47942,54449,60410,74002,2017
Ásia,46637,4890,5010,4240,3796,2932,2403,3543,3272,3352,3807,4222,5170,2017
Europa,413886,43398,44490,37629,33671,26026,21305,31433,29040,29740,33774,37475,45905,2017
Oceania,13749,1440,1479,1251,1118,865,708,1044,965,988,1123,1243,1525,2017
África,12344,892,1208,1297,985,731,697,756,1361,861,1172,960,1424,2018
América Central e Caribe,11451,711,627,1042,670,639,631,628,834,1137,1786,1476,1270,2018
América do Norte,139097,7880,13255,14254,9561,9953,8937,11968,14351,10640,9892,11257,17149,2018
América do Sul,683532,92990,76873,75664,52130,36630,30052,47606,43606,51360,52493,52780,71348,2018
Ásia,42301,3424,5689,4035,2411,2354,2371,3486,3780,3433,3783,4037,3498,2018
Europa,345542,29549,38430,37267,24760,18819,17082,25399,28834,22824,28191,33112,41275,2018
Oceania,13524,1095,1707,1257,1045,995,752,936,838,1182,1216,1026,1475,2018
África,12285,1557,1448,2078,989,610,791,822,1069,807,717,554,843,2019
América Central e Caribe,8623,560,561,907,807,446,572,711,778,869,680,1021,711,2019
América do Norte,138629,10570,12411,16720,8907,9198,10428,10719,11704,10744,11065,11159,15004,2019
América do Sul,627135,80206,75954,69888,46010,36775,43209,43584,40822,45125,45548,43863,56151,2019
Ásia,39320,2956,4300,5709,2692,3463,2583,2765,3005,3013,2899,2948,2987,2019
Europa,357829,28503,39488,38102,31461,20849,18919,27624,30663,23445,28279,32484,38012,2019
Oceania,14694,1788,1697,2104,840,719,879,921,990,1402,1066,872,1416,2019
